name,url,total_fights,wins,losses,draw,sig_strikes_landed,sig_strikes_attempted,takedowns_landed,takedown_attempted,sig_str_landed,sig_str_absorbed,takedown_avg,submission_avg,sig_str_def,takedown_def,knockdown_avg,avg_fight_time_seconds,str_standing,str_clinch,str_ground,str_head,str_body,str_leg,img
Razak Al-Hassan,https://www.ufc.com/athlete/razak-al-hassan,9,7,2,0,75.0,191.0,0.0,7.0,3.27,3.14,0.65,0.0,60.0,57.0,0.0,458.0,68.0,7.0,0.0,28.0,21.0,26.0,
Ali Al-Qaisi,https://www.ufc.com/athlete/ali-alqaisi,13,8,5,0,73.0,172.0,0.0,24.0,2.43,1.97,3.5,1.0,56.0,60.0,0.0,900.0,63.0,9.0,1.0,40.0,10.0,23.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2020-10/71683%252Fprofile-galery%252Ffullbodyleft-picture%252FALQAISI_ALI_L_08-08.png?itok=ldiCm0TS
Abdul-Kareem Al-Selwady,https://www.ufc.com/athlete/abdul-kareem-al-selwady,19,15,4,0,107.0,309.0,3.0,13.0,4.14,3.6,2.32,0.0,59.0,20.0,0.0,775.0,102.0,5.0,0.0,60.0,17.0,30.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2024-02/AL-SELWADY_ABDUL-KAREEM_L_03-02.png?itok=CKRp0Q_w
Herdem Alacabek,https://www.ufc.com/athlete/herdem-alacabek,0,0,0,0,56.0,85.0,0.0,4.0,3.84,6.66,2.06,0.0,23.0,43.0,0.0,874.0,24.0,26.0,6.0,25.0,23.0,8.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/10e818b5-0ad1-400e-8f07-91c0717f7a60%252FALACABEK_HERDEM_L.png?itok=iBcwCkpz
Alatengheili,https://www.ufc.com/athlete/heili-alateng,29,17,10,2,340.0,1039.0,3.0,32.0,2.82,5.12,1.74,0.0,57.0,75.0,0.12,805.0,325.0,2.0,13.0,223.0,71.0,46.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-04/ALATENGHEILI_L_05-18.png?itok=WjLsBp8K
Amir Albazi,https://www.ufc.com/athlete/amir-albazi,19,17,2,0,235.0,676.0,3.0,25.0,2.72,3.71,1.39,0.52,62.0,50.0,0.35,865.0,202.0,3.0,30.0,162.0,40.0,33.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-01/5/ALBAZI_AMIR_L_06-03.png?itok=dSQz-2tZ
John Albert,https://www.ufc.com/athlete/john-albert,12,7,5,0,67.0,135.0,0.0,3.0,3.05,2.82,0.0,6.14,35.0,50.0,0.68,264.0,34.0,15.0,18.0,44.0,16.0,7.0,
Junior Albini,https://www.ufc.com/athlete/junior-albini,20,14,6,0,116.0,227.0,1.0,8.0,3.98,6.08,1.54,0.0,52.0,100.0,0.51,350.0,90.0,22.0,4.0,70.0,27.0,19.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/fighter_images/junior_albini/ALBINI_JUNIOR_L.png?VersionId=_pkIrcY5IZrB.DUvzPk7J1daug2p8gSS&itok=W9bRXaoB
Wes Albritton,https://www.ufc.com/athlete/wes-albritton,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Alexandra Albu,https://www.ufc.com/athlete/alexandra-albu,9,7,2,0,191.0,405.0,5.0,12.0,4.83,5.56,2.27,0.38,39.0,78.0,0.0,594.0,112.0,62.0,17.0,138.0,45.0,8.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67245/profile-galery/fullbodyleft-picture/ALBU_ALEXANDRA_L.png?itok=mCbfQ7NG
Ildemar Alcantara,https://www.ufc.com/athlete/igor-araudzho-1,29,21,8,0,188.0,486.0,0.0,19.0,1.93,2.63,2.0,0.92,50.0,82.0,0.0,837.0,129.0,34.0,25.0,106.0,62.0,20.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2022-03/4bf9c4d8-f416-4ac2-9bff-296d52fbf663%252FIldemar-Alcantara_299105_LeftFullBodyImage.png?itok=e5dnh3kU
Iuri Alcantara,https://www.ufc.com/athlete/iuri-alcantara,45,35,10,0,483.0,1057.0,17.0,27.0,2.72,2.79,1.44,0.84,49.0,60.0,0.42,561.0,303.0,45.0,135.0,316.0,130.0,37.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68134/profile-galery/fullbodyleft-picture/Iuri-Alcantara_135403_LeftFullBodyImage.png?itok=lQfEBTMf
Alfonso Alcarez,https://www.ufc.com/athlete/alfonso-alcarez,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Gilbert Aldana,https://www.ufc.com/athlete/gilbert-aldana,5,5,0,0,34.0,62.0,0.0,5.0,2.91,6.26,2.57,0.0,26.0,33.0,0.0,350.0,6.0,19.0,9.0,24.0,6.0,4.0,
Hector Aldana,https://www.ufc.com/athlete/hector-aldana,6,4,2,0,116.0,302.0,2.0,2.0,3.59,5.08,0.93,0.0,60.0,0.0,10.0,0.0,109.0,6.0,1.0,64.0,13.0,39.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68080/profile-galery/fullbodyleft-picture/ALDANA_HECTOR_L.png?VersionId=7Y_3Ma4smBzA0_a45Vlw08GDGYXLCaOV&itok=6vog6URV
Irene Aldana,https://www.ufc.com/athlete/irene-aldana,23,15,8,0,1065.0,2667.0,2.0,4.0,5.19,6.64,0.15,0.22,56.0,78.0,0.22,879.0,948.0,55.0,62.0,743.0,145.0,177.0,https://dmxg5wxfqgb4u.cloudfront.net/styles/athlete_bio_full_body/s3/2025-01/5/ALDANA_IRENE_L_09-14.png?itok=wFPOcIxf
